current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
6,12800,0.098,0.257,0.257,0.286,0.968
6,12900,0.098,0.770,0.770,0.376,0.961
6,13000,0.098,4.605,4.605,0.560,0.942
6,13100,0.098,0.273,0.273,0.255,0.969
6,13200,0.099,0.620,0.620,0.351,0.957
6,13300,0.098,0.369,0.369,0.272,0.970
6,13400,0.098,0.609,0.609,0.421,0.955
6,13500,0.098,0.805,0.805,0.332,0.961
6,13600,0.099,0.212,0.212,0.239,0.972
6,13700,0.098,0.608,0.608,0.387,0.961
6,13800,0.098,0.598,0.598,0.364,0.960
6,13900,0.098,0.743,0.743,0.366,0.955
6,14000,0.099,0.864,0.864,0.355,0.961
6,14100,0.098,3.272,3.272,0.651,0.904
6,14200,0.098,0.277,0.277,0.255,0.971
6,14300,0.098,0.399,0.399,0.298,0.964
6,14400,0.099,0.289,0.289,0.271,0.972
6,14500,0.098,0.677,0.677,0.316,0.964
6,14600,0.098,0.525,0.525,0.313,0.967
6,14700,0.098,0.444,0.444,0.313,0.964
6,14800,0.099,0.275,0.275,0.279,0.971
6,14900,0.098,0.530,0.530,0.319,0.962
6,15000,0.098,0.226,0.226,0.241,0.972
7,15100,0.100,0.609,0.609,0.325,0.964
7,15200,0.099,0.869,0.869,0.348,0.962
7,15300,0.098,0.527,0.527,0.285,0.969
7,15400,0.098,0.247,0.247,0.256,0.972
7,15500,0.098,0.314,0.314,0.279,0.970
7,15600,0.098,0.665,0.665,0.352,0.966
7,15700,0.098,0.496,0.496,0.325,0.965
7,15800,0.098,0.468,0.468,0.311,0.966
7,15900,0.098,0.279,0.279,0.268,0.974
7,16000,0.099,0.508,0.508,0.282,0.971
7,16100,0.098,0.373,0.373,0.270,0.975
7,16200,0.098,0.264,0.264,0.259,0.973
7,16300,0.098,1.765,1.765,0.570,0.951
7,16400,0.098,0.347,0.347,0.261,0.975
7,16500,0.098,0.261,0.261,0.255,0.971
7,16600,0.098,0.425,0.425,0.283,0.969
7,16700,0.098,0.337,0.337,0.257,0.973
7,16800,0.098,0.621,0.621,0.322,0.973
7,16900,0.098,0.726,0.726,0.366,0.969
7,17000,0.098,0.258,0.258,0.251,0.971
7,17100,0.097,0.332,0.332,0.281,0.969
7,17200,0.099,0.260,0.260,0.249,0.973
7,17300,0.098,0.336,0.336,0.302,0.967
7,17400,0.098,0.193,0.193,0.225,0.974
7,17500,0.098,1.745,1.745,0.657,0.914
7,17600,0.098,0.747,0.747,0.291,0.973
8,17700,0.101,0.517,0.517,0.319,0.966
8,17800,0.098,0.343,0.343,0.252,0.975
8,17900,0.098,0.662,0.662,0.318,0.964
8,18000,0.098,1.286,1.286,0.469,0.950
8,18100,0.098,0.488,0.488,0.298,0.974
8,18200,0.098,1.632,1.632,0.445,0.963
8,18300,0.098,0.212,0.212,0.246,0.974
8,18400,0.098,0.224,0.224,0.267,0.970
8,18500,0.098,0.553,0.553,0.317,0.970
8,18600,0.098,0.198,0.198,0.244,0.974
8,18700,0.098,0.518,0.518,0.272,0.976
8,18800,0.098,0.403,0.403,0.289,0.965
8,18900,0.098,0.234,0.234,0.254,0.970
8,19000,0.098,1.734,1.734,0.598,0.931
8,19100,0.098,0.241,0.241,0.251,0.974
8,19200,0.098,0.378,0.378,0.309,0.969
8,19300,0.098,0.258,0.258,0.268,0.972
8,19400,0.098,0.619,0.619,0.343,0.975
8,19500,0.098,0.404,0.404,0.282,0.970
8,19600,0.099,1.854,1.854,0.490,0.958
8,19700,0.098,1.037,1.037,0.396,0.961
8,19800,0.098,0.369,0.369,0.303,0.964
8,19900,0.098,0.683,0.683,0.332,0.967
8,20000,0.098,0.976,0.976,0.379,0.962
8,20100,0.097,0.409,0.409,0.282,0.972
9,20200,0.100,0.156,0.156,0.238,0.974
9,20300,0.098,0.221,0.221,0.229,0.975
9,20400,0.099,0.194,0.194,0.235,0.973
9,20500,0.098,0.376,0.376,0.259,0.975
9,20600,0.099,0.405,0.405,0.277,0.972
9,20700,0.098,0.513,0.513,0.322,0.972
9,20800,0.100,0.978,0.978,0.413,0.957
9,20900,0.099,0.230,0.230,0.232,0.979
9,21000,0.098,0.257,0.257,0.259,0.973
9,21100,0.098,0.726,0.726,0.369,0.966
9,21200,0.100,0.215,0.215,0.230,0.976
9,21300,0.098,0.406,0.406,0.281,0.973
9,21400,0.098,0.207,0.207,0.219,0.978
9,21500,0.098,0.367,0.367,0.278,0.971
9,21600,0.099,0.842,0.842,0.347,0.973
9,21700,0.098,0.391,0.391,0.266,0.974
9,21800,0.098,0.218,0.218,0.227,0.977
9,21900,0.098,0.272,0.272,0.226,0.973
9,22000,0.100,0.375,0.375,0.278,0.968
9,22100,0.098,0.154,0.154,0.203,0.978
9,22200,0.098,0.236,0.236,0.228,0.980
9,22300,0.098,0.496,0.496,0.296,0.972
9,22400,0.099,0.569,0.569,0.310,0.966
9,22500,0.098,0.202,0.202,0.226,0.978
9,22600,0.098,0.592,0.592,0.321,0.970
10,22700,0.100,0.284,0.284,0.290,0.973
10,22800,0.098,0.205,0.205,0.241,0.973
10,22900,0.098,0.171,0.171,0.213,0.979
10,23000,0.098,0.215,0.215,0.226,0.977
10,23100,0.098,0.734,0.734,0.266,0.974
10,23200,0.099,0.350,0.350,0.291,0.971
10,23300,0.098,0.500,0.500,0.290,0.969
10,23400,0.098,0.628,0.628,0.336,0.968
10,23500,0.098,0.870,0.870,0.407,0.956
10,23600,0.097,0.321,0.321,0.233,0.977
10,23700,0.098,1.226,1.226,0.396,0.957
10,23800,0.099,0.304,0.304,0.235,0.979
10,23900,0.098,0.206,0.206,0.221,0.979
10,24000,0.098,0.297,0.297,0.260,0.972
10,24100,0.098,1.088,1.088,0.326,0.974
10,24200,0.098,0.287,0.287,0.251,0.979
10,24300,0.099,0.415,0.415,0.302,0.969
10,24400,0.098,0.434,0.434,0.310,0.971
10,24500,0.098,0.277,0.277,0.247,0.978
10,24600,0.098,0.323,0.323,0.270,0.976
10,24700,0.100,4.297,4.297,0.531,0.960
10,24800,0.098,0.243,0.243,0.241,0.978
10,24900,0.098,0.355,0.355,0.246,0.978
10,25000,0.098,0.245,0.245,0.264,0.975
10,25100,0.098,0.670,0.670,0.367,0.970
11,25200,0.100,0.551,0.551,0.285,0.973
11,25300,0.099,0.171,0.171,0.232,0.980
11,25400,0.099,0.222,0.222,0.237,0.978
11,25500,0.098,0.262,0.262,0.242,0.979
