current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
65,11000,0.447,1.174,0.584,0.590,0.515,0.764
66,11100,0.450,1.389,0.585,0.803,0.544,0.756
66,11200,0.447,1.318,0.586,0.732,0.539,0.762
67,11300,0.453,1.187,0.586,0.601,0.507,0.766
68,11400,0.450,1.556,0.582,0.974,0.548,0.768
68,11500,0.447,1.317,0.583,0.734,0.530,0.764
69,11600,0.452,1.129,0.580,0.549,0.502,0.768
69,11700,0.448,1.266,0.573,0.693,0.519,0.766
70,11800,0.455,1.219,0.576,0.643,0.515,0.768
70,11900,0.445,1.338,0.574,0.764,0.534,0.766
71,12000,0.455,1.509,0.573,0.936,0.567,0.760
72,12100,0.456,1.107,0.573,0.534,0.497,0.770
72,12200,0.446,1.301,0.572,0.729,0.528,0.771
73,12300,0.451,1.278,0.573,0.705,0.521,0.769
73,12400,0.447,1.114,0.572,0.541,0.497,0.774
74,12500,0.451,1.268,0.572,0.696,0.514,0.772
75,12600,0.454,1.209,0.577,0.632,0.514,0.775
75,12700,0.448,1.189,0.569,0.619,0.507,0.775
76,12800,0.450,1.131,0.572,0.559,0.504,0.778
76,12900,0.449,1.290,0.570,0.719,0.517,0.773
77,13000,0.452,1.148,0.568,0.580,0.501,0.772
78,13100,0.453,1.228,0.565,0.663,0.518,0.773
78,13200,0.447,1.446,0.566,0.881,0.537,0.776
79,13300,0.453,1.174,0.568,0.607,0.497,0.779
79,13400,0.446,1.139,0.566,0.573,0.500,0.775
80,13500,0.455,1.243,0.568,0.675,0.513,0.777
80,13600,0.445,1.448,0.564,0.885,0.531,0.777
81,13700,0.456,1.376,0.563,0.813,0.530,0.779
82,13800,0.453,1.102,0.562,0.539,0.491,0.778
82,13900,0.447,1.201,0.559,0.643,0.505,0.781
83,14000,0.450,1.077,0.561,0.516,0.484,0.780
83,14100,0.447,1.159,0.557,0.602,0.506,0.780
84,14200,0.451,1.519,0.561,0.958,0.542,0.777
85,14300,0.456,1.325,0.562,0.764,0.527,0.776
85,14400,0.447,1.068,0.559,0.509,0.484,0.783
86,14500,0.449,1.142,0.560,0.582,0.502,0.779
86,14600,0.447,1.070,0.562,0.508,0.482,0.784
87,14700,0.451,1.041,0.556,0.484,0.480,0.784
88,14800,0.447,1.012,0.557,0.455,0.472,0.784
88,14900,0.446,1.033,0.556,0.477,0.472,0.787
89,15000,0.447,1.057,0.556,0.501,0.476,0.785
89,15100,0.447,1.236,0.555,0.681,0.511,0.780
90,15200,0.448,1.171,0.552,0.619,0.490,0.782
90,15300,0.444,1.705,0.546,1.159,0.561,0.781
91,15400,0.454,1.314,0.554,0.760,0.510,0.783
92,15500,0.454,1.324,0.550,0.774,0.534,0.780
92,15600,0.448,1.198,0.554,0.644,0.497,0.788
93,15700,0.452,1.241,0.551,0.690,0.493,0.785
