current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
6,12800,0.099,0.799,0.799,0.313,0.947
6,12900,0.099,1.174,1.174,0.389,0.900
6,13000,0.098,1.631,1.631,0.448,0.924
6,13100,0.098,0.600,0.600,0.301,0.947
6,13200,0.100,0.405,0.405,0.269,0.933
6,13300,0.097,0.313,0.313,0.248,0.937
6,13400,0.098,0.376,0.376,0.299,0.909
6,13500,0.099,0.619,0.619,0.330,0.939
6,13600,0.099,0.521,0.521,0.280,0.946
6,13700,0.098,0.832,0.832,0.379,0.906
6,13800,0.099,0.492,0.492,0.304,0.940
6,13900,0.098,0.261,0.261,0.238,0.935
6,14000,0.099,0.698,0.698,0.345,0.943
6,14100,0.099,0.760,0.760,0.347,0.922
6,14200,0.098,0.272,0.272,0.249,0.922
6,14300,0.098,0.352,0.352,0.256,0.932
6,14400,0.100,0.599,0.599,0.311,0.937
6,14500,0.098,0.559,0.559,0.278,0.941
6,14600,0.098,0.701,0.701,0.318,0.947
6,14700,0.098,0.455,0.455,0.270,0.935
6,14800,0.097,0.295,0.295,0.250,0.933
6,14900,0.098,0.444,0.444,0.298,0.927
6,15000,0.099,0.231,0.231,0.230,0.938
7,15100,0.100,3.060,3.060,0.525,0.900
7,15200,0.098,0.526,0.526,0.269,0.941
7,15300,0.099,0.422,0.422,0.302,0.917
7,15400,0.098,0.356,0.356,0.249,0.941
7,15500,0.098,0.434,0.434,0.269,0.945
7,15600,0.098,1.086,1.086,0.354,0.941
7,15700,0.098,0.816,0.816,0.328,0.941
7,15800,0.098,1.280,1.280,0.370,0.944
7,15900,0.098,0.688,0.688,0.311,0.949
7,16000,0.099,0.929,0.929,0.366,0.923
7,16100,0.099,0.279,0.279,0.262,0.922
7,16200,0.098,0.206,0.206,0.239,0.930
7,16300,0.098,0.709,0.709,0.322,0.934
7,16400,0.100,0.301,0.301,0.248,0.942
7,16500,0.098,0.333,0.333,0.257,0.940
7,16600,0.098,0.527,0.527,0.286,0.941
7,16700,0.099,0.254,0.254,0.244,0.931
7,16800,0.099,1.570,1.570,0.373,0.941
7,16900,0.098,0.370,0.370,0.267,0.945
7,17000,0.099,0.232,0.232,0.249,0.930
7,17100,0.098,0.482,0.482,0.277,0.944
7,17200,0.099,0.211,0.211,0.257,0.917
7,17300,0.099,0.186,0.186,0.222,0.930
7,17400,0.098,0.213,0.213,0.221,0.949
7,17500,0.098,0.530,0.530,0.284,0.939
7,17600,0.099,0.246,0.246,0.221,0.940
8,17700,0.100,0.332,0.332,0.249,0.947
8,17800,0.098,0.649,0.649,0.301,0.938
8,17900,0.098,0.414,0.414,0.265,0.952
8,18000,0.099,1.872,1.872,0.424,0.923
8,18100,0.098,0.504,0.504,0.294,0.945
8,18200,0.099,0.896,0.896,0.365,0.946
8,18300,0.097,0.349,0.349,0.253,0.949
8,18400,0.099,0.255,0.255,0.244,0.932
8,18500,0.098,0.282,0.282,0.249,0.947
8,18600,0.098,0.177,0.177,0.203,0.952
8,18700,0.097,0.557,0.557,0.314,0.950
8,18800,0.100,0.317,0.317,0.243,0.942
8,18900,0.097,0.233,0.233,0.227,0.948
8,19000,0.098,0.377,0.377,0.272,0.949
8,19100,0.099,0.176,0.176,0.210,0.947
8,19200,0.099,0.218,0.218,0.213,0.952
8,19300,0.097,0.494,0.494,0.290,0.948
8,19400,0.099,0.370,0.370,0.292,0.937
8,19500,0.097,0.254,0.254,0.235,0.942
8,19600,0.099,1.296,1.296,0.393,0.942
8,19700,0.098,1.071,1.071,0.340,0.942
8,19800,0.097,0.746,0.746,0.306,0.950
8,19900,0.098,1.059,1.059,0.350,0.944
8,20000,0.099,0.775,0.775,0.306,0.943
8,20100,0.097,0.290,0.290,0.233,0.950
9,20200,0.100,1.507,1.507,0.420,0.924
9,20300,0.098,0.316,0.316,0.250,0.948
9,20400,0.099,0.222,0.222,0.220,0.949
9,20500,0.098,1.268,1.268,0.388,0.944
9,20600,0.098,0.697,0.697,0.295,0.955
9,20700,0.098,0.246,0.246,0.227,0.953
9,20800,0.100,2.055,2.055,0.522,0.915
9,20900,0.097,0.175,0.175,0.203,0.952
9,21000,0.098,0.266,0.266,0.242,0.942
9,21100,0.098,0.372,0.372,0.269,0.939
9,21200,0.099,0.168,0.168,0.217,0.942
9,21300,0.097,0.525,0.525,0.261,0.955
9,21400,0.099,0.217,0.217,0.213,0.946
9,21500,0.098,0.218,0.218,0.201,0.948
9,21600,0.099,4.085,4.085,0.500,0.936
9,21700,0.098,0.248,0.248,0.244,0.937
9,21800,0.097,0.187,0.187,0.207,0.949
9,21900,0.098,0.190,0.190,0.196,0.956
9,22000,0.100,0.177,0.177,0.193,0.952
9,22100,0.097,0.261,0.261,0.231,0.952
9,22200,0.098,0.828,0.828,0.315,0.955
9,22300,0.099,0.662,0.662,0.293,0.955
9,22400,0.099,0.254,0.254,0.222,0.957
9,22500,0.098,0.593,0.593,0.285,0.958
9,22600,0.098,0.899,0.899,0.340,0.948
10,22700,0.100,0.338,0.338,0.229,0.952
10,22800,0.099,0.244,0.244,0.277,0.924
10,22900,0.099,0.536,0.536,0.290,0.947
10,23000,0.098,0.257,0.257,0.221,0.955
10,23100,0.098,0.565,0.565,0.281,0.956
10,23200,0.100,0.208,0.208,0.226,0.948
10,23300,0.098,0.204,0.204,0.213,0.949
10,23400,0.098,0.413,0.413,0.257,0.947
10,23500,0.099,0.273,0.273,0.229,0.960
10,23600,0.099,0.176,0.176,0.210,0.943
10,23700,0.098,0.275,0.275,0.213,0.961
10,23800,0.099,0.179,0.179,0.213,0.941
10,23900,0.098,0.338,0.338,0.233,0.953
10,24000,0.099,0.151,0.151,0.192,0.949
10,24100,0.098,0.978,0.978,0.326,0.953
10,24200,0.098,0.895,0.895,0.389,0.939
10,24300,0.098,0.348,0.348,0.257,0.956
10,24400,0.099,1.210,1.210,0.440,0.908
10,24500,0.098,0.469,0.469,0.252,0.953
10,24600,0.098,0.252,0.252,0.207,0.952
10,24700,0.098,0.147,0.147,0.200,0.952
10,24800,0.099,0.422,0.422,0.259,0.950
10,24900,0.099,0.401,0.401,0.278,0.955
10,25000,0.098,0.192,0.192,0.244,0.926
10,25100,0.098,0.184,0.184,0.203,0.950
11,25200,0.102,0.162,0.162,0.197,0.955
11,25300,0.098,0.330,0.330,0.252,0.950
