current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.035,0.995,0.002,0.993,0.800,0.045
2,200,0.040,0.996,0.002,0.994,0.800,0.005
2,300,0.036,0.994,0.001,0.993,0.801,0.015
3,400,0.035,0.995,0.000,0.995,0.807,-0.059
3,500,0.032,0.994,0.000,0.993,0.796,-0.060
4,600,0.038,0.994,0.000,0.994,0.800,-0.004
4,700,0.031,0.995,0.001,0.994,0.817,0.001
5,800,0.034,0.994,0.000,0.994,0.793,-0.006
5,900,0.031,0.994,0.000,0.994,0.807,0.014
