current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.036,0.991,0.003,0.988,0.802,0.097
2,200,0.035,0.993,0.001,0.993,0.802,0.031
2,300,0.038,0.993,0.000,0.992,0.786,0.048
3,400,0.031,0.994,0.000,0.994,0.821,-0.016
3,500,0.038,0.994,0.000,0.994,0.807,0.026
4,600,0.034,0.996,0.000,0.995,0.818,-0.067
4,700,0.034,0.993,0.000,0.993,0.803,-0.006
5,800,0.034,0.994,0.000,0.994,0.804,-0.028
5,900,0.035,0.995,0.000,0.995,0.783,-0.016
