current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
43,105700,0.103,0.230,0.230,0.285,0.998
43,105800,0.098,0.498,0.498,0.380,0.998
43,105900,0.098,0.376,0.376,0.332,0.998
43,106000,0.098,0.548,0.548,0.371,0.998
43,106100,0.099,0.355,0.355,0.365,0.997
43,106200,0.098,0.298,0.298,0.274,0.998
43,106300,0.098,0.437,0.437,0.375,0.995
43,106400,0.098,0.337,0.337,0.365,0.997
43,106500,0.101,1.400,1.400,0.551,0.997
43,106600,0.099,0.745,0.745,0.453,0.997
43,106700,0.099,0.608,0.608,0.425,0.997
43,106800,0.100,0.850,0.850,0.506,0.996
43,106900,0.102,0.324,0.324,0.294,0.998
43,107000,0.100,0.404,0.404,0.353,0.994
43,107100,0.099,0.315,0.315,0.350,0.997
43,107200,0.100,0.172,0.172,0.246,0.998
43,107300,0.102,0.416,0.416,0.336,0.998
43,107400,0.099,0.818,0.818,0.500,0.996
43,107500,0.100,0.294,0.294,0.290,0.998
43,107600,0.099,0.794,0.794,0.465,0.998
43,107700,0.101,0.397,0.397,0.366,0.997
43,107800,0.101,0.671,0.671,0.412,0.994
43,107900,0.099,0.545,0.545,0.408,0.996
43,108000,0.099,0.539,0.539,0.375,0.998
43,108100,0.100,0.413,0.413,0.400,0.997
44,108200,0.102,0.630,0.630,0.442,0.996
44,108300,0.099,0.407,0.407,0.396,0.996
44,108400,0.101,0.473,0.473,0.388,0.997
44,108500,0.099,0.260,0.260,0.297,0.998
44,108600,0.100,0.239,0.239,0.297,0.996
44,108700,0.101,0.392,0.392,0.382,0.997
44,108800,0.100,0.227,0.227,0.271,0.998
44,108900,0.098,0.367,0.367,0.376,0.996
44,109000,0.100,0.545,0.545,0.420,0.995
44,109100,0.099,0.434,0.434,0.342,0.996
44,109200,0.100,0.283,0.283,0.309,0.997
44,109300,0.100,0.257,0.257,0.289,0.998
44,109400,0.099,0.401,0.401,0.408,0.997
44,109500,0.099,1.394,1.394,0.584,0.997
44,109600,0.101,0.702,0.702,0.487,0.997
44,109700,0.099,0.228,0.228,0.273,0.998
44,109800,0.100,0.508,0.508,0.373,0.998
44,109900,0.100,0.331,0.331,0.321,0.997
44,110000,0.101,0.259,0.259,0.293,0.997
44,110100,0.100,0.356,0.356,0.393,0.997
44,110200,0.099,0.956,0.956,0.507,0.998
44,110300,0.099,0.374,0.374,0.347,0.998
44,110400,0.102,0.817,0.817,0.385,0.997
44,110500,0.099,0.333,0.333,0.360,0.995
44,110600,0.099,0.377,0.377,0.374,0.997
45,110700,0.103,0.245,0.245,0.286,0.998
45,110800,0.099,0.317,0.317,0.301,0.999
45,110900,0.099,0.454,0.454,0.358,0.996
45,111000,0.101,0.351,0.351,0.357,0.997
45,111100,0.099,1.186,1.186,0.588,0.997
45,111200,0.101,1.015,1.015,0.507,0.997
45,111300,0.100,0.247,0.247,0.293,0.998
45,111400,0.099,0.389,0.389,0.380,0.997
45,111500,0.099,0.274,0.274,0.327,0.996
45,111600,0.102,1.021,1.021,0.437,0.997
45,111700,0.099,0.327,0.327,0.368,0.997
45,111800,0.099,0.341,0.341,0.315,0.996
45,111900,0.100,0.699,0.699,0.519,0.992
45,112000,0.101,0.259,0.259,0.315,0.997
45,112100,0.099,0.226,0.226,0.275,0.998
45,112200,0.100,1.018,1.018,0.528,0.996
45,112300,0.099,0.250,0.250,0.270,0.998
45,112400,0.101,0.805,0.805,0.499,0.997
45,112500,0.100,0.509,0.509,0.355,0.994
45,112600,0.099,0.230,0.230,0.295,0.998
45,112700,0.100,0.211,0.211,0.258,0.998
45,112800,0.100,0.812,0.812,0.519,0.997
45,112900,0.099,0.520,0.520,0.408,0.995
45,113000,0.101,0.674,0.674,0.458,0.997
45,113100,0.099,0.219,0.219,0.314,0.998
46,113200,0.103,0.759,0.759,0.436,0.997
46,113300,0.100,0.220,0.220,0.282,0.997
46,113400,0.099,0.294,0.294,0.274,0.998
46,113500,0.099,0.249,0.249,0.313,0.997
46,113600,0.102,0.436,0.436,0.428,0.996
46,113700,0.099,0.317,0.317,0.345,0.997
46,113800,0.099,0.396,0.396,0.365,0.997
46,113900,0.100,0.391,0.391,0.355,0.998
46,114000,0.100,0.676,0.676,0.408,0.998
46,114100,0.099,0.240,0.240,0.273,0.998
46,114200,0.100,0.205,0.205,0.295,0.997
46,114300,0.099,0.354,0.354,0.369,0.998
46,114400,0.098,0.437,0.437,0.357,0.996
46,114500,0.100,0.316,0.316,0.323,0.995
46,114600,0.099,0.280,0.280,0.341,0.996
46,114700,0.100,0.244,0.244,0.314,0.998
46,114800,0.100,0.277,0.277,0.337,0.997
46,114900,0.099,0.343,0.343,0.353,0.998
46,115000,0.099,0.309,0.309,0.353,0.996
46,115100,0.101,0.311,0.311,0.293,0.998
46,115200,0.099,0.549,0.549,0.400,0.998
46,115300,0.099,0.177,0.177,0.260,0.998
46,115400,0.099,0.303,0.303,0.313,0.997
46,115500,0.101,0.174,0.174,0.283,0.997
46,115600,0.099,0.322,0.322,0.376,0.997
47,115700,0.101,0.551,0.551,0.378,0.998
47,115800,0.099,0.193,0.193,0.274,0.997
47,115900,0.102,0.299,0.299,0.311,0.996
47,116000,0.099,0.724,0.724,0.498,0.996
47,116100,0.099,0.280,0.280,0.341,0.997
47,116200,0.100,0.287,0.287,0.340,0.997
47,116300,0.100,0.948,0.948,0.546,0.997
47,116400,0.099,0.228,0.228,0.309,0.998
47,116500,0.100,0.152,0.152,0.246,0.998
47,116600,0.099,0.365,0.365,0.364,0.997
47,116700,0.100,0.308,0.308,0.295,0.997
47,116800,0.100,0.485,0.485,0.412,0.997
47,116900,0.099,0.407,0.407,0.333,0.996
47,117000,0.099,0.299,0.299,0.331,0.997
47,117100,0.101,0.210,0.210,0.244,0.997
47,117200,0.099,0.451,0.451,0.372,0.998
47,117300,0.099,0.276,0.276,0.339,0.997
47,117400,0.100,0.196,0.196,0.247,0.999
47,117500,0.100,0.686,0.686,0.363,0.996
47,117600,0.099,0.588,0.588,0.423,0.997
47,117700,0.100,0.888,0.888,0.473,0.995
47,117800,0.099,0.225,0.225,0.295,0.998
47,117900,0.099,0.287,0.287,0.306,0.997
47,118000,0.099,0.338,0.338,0.307,0.998
47,118100,0.099,0.320,0.320,0.323,0.998
47,118200,0.099,0.395,0.395,0.368,0.998
48,118300,0.102,0.133,0.133,0.210,0.999
48,118400,0.099,0.355,0.355,0.316,0.996
48,118500,0.100,0.647,0.647,0.402,0.997
48,118600,0.099,0.318,0.318,0.294,0.998
48,118700,0.099,0.198,0.198,0.275,0.997
48,118800,0.100,0.596,0.596,0.379,0.997
48,118900,0.099,0.385,0.385,0.362,0.998
48,119000,0.099,0.277,0.277,0.334,0.998
48,119100,0.101,0.322,0.322,0.295,0.998
48,119200,0.099,0.797,0.797,0.472,0.998
48,119300,0.099,0.169,0.169,0.269,0.998
48,119400,0.100,0.259,0.259,0.314,0.998
48,119500,0.099,1.673,1.673,0.628,0.996
48,119600,0.099,0.315,0.315,0.330,0.997
48,119700,0.100,0.496,0.496,0.350,0.998
48,119800,0.099,0.503,0.503,0.388,0.995
48,119900,0.099,0.277,0.277,0.333,0.998
48,120000,0.100,0.707,0.707,0.438,0.996
48,120100,0.099,0.385,0.385,0.326,0.998
48,120200,0.099,0.804,0.804,0.455,0.997
48,120300,0.101,0.355,0.355,0.344,0.996
48,120400,0.099,0.236,0.236,0.271,0.998
48,120500,0.099,0.554,0.554,0.435,0.998
48,120600,0.100,0.257,0.257,0.279,0.998
48,120700,0.099,0.240,0.240,0.323,0.996
49,120800,0.102,0.189,0.189,0.276,0.998
49,120900,0.100,0.800,0.800,0.487,0.994
49,121000,0.099,0.975,0.975,0.502,0.998
49,121100,0.101,0.160,0.160,0.263,0.997
49,121200,0.099,0.455,0.455,0.386,0.995
49,121300,0.099,0.509,0.509,0.323,0.998
49,121400,0.100,0.278,0.278,0.239,0.999
49,121500,0.100,1.209,1.209,0.593,0.997
49,121600,0.099,0.272,0.272,0.317,0.998
49,121700,0.100,0.218,0.218,0.281,0.998
49,121800,0.099,0.382,0.382,0.343,0.997
49,121900,0.100,0.668,0.668,0.472,0.997
49,122000,0.100,0.276,0.276,0.340,0.994
49,122100,0.099,0.381,0.381,0.356,0.999
49,122200,0.099,0.234,0.234,0.270,0.998
49,122300,0.101,0.534,0.534,0.398,0.994
49,122400,0.099,0.422,0.422,0.358,0.998
49,122500,0.099,0.263,0.263,0.336,0.995
49,122600,0.100,0.222,0.222,0.303,0.998
49,122700,0.100,0.458,0.458,0.334,0.998
49,122800,0.099,0.093,0.093,0.200,0.998
49,122900,0.100,0.227,0.227,0.274,0.997
49,123000,0.099,0.257,0.257,0.319,0.998
49,123100,0.100,0.175,0.175,0.248,0.998
49,123200,0.099,0.179,0.179,0.258,0.999
50,123300,0.101,0.322,0.322,0.309,0.998
50,123400,0.099,0.380,0.380,0.341,0.995
50,123500,0.102,0.215,0.215,0.273,0.998
50,123600,0.099,0.518,0.518,0.354,0.998
50,123700,0.099,0.763,0.763,0.392,0.998
50,123800,0.100,0.254,0.254,0.340,0.994
50,123900,0.100,0.349,0.349,0.361,0.998
50,124000,0.100,0.186,0.186,0.238,0.999
50,124100,0.099,0.369,0.369,0.333,0.998
50,124200,0.099,0.152,0.152,0.238,0.999
50,124300,0.099,0.281,0.281,0.282,0.996
50,124400,0.099,0.900,0.900,0.419,0.998
50,124500,0.099,0.360,0.360,0.382,0.998
50,124600,0.100,0.237,0.237,0.290,0.997
50,124700,0.100,0.256,0.256,0.263,0.998
50,124800,0.098,0.378,0.378,0.327,0.998
50,124900,0.100,0.369,0.369,0.315,0.998
50,125000,0.099,0.202,0.202,0.269,0.997
50,125100,0.100,0.113,0.113,0.227,0.997
50,125200,0.100,0.706,0.706,0.393,0.996
50,125300,0.099,0.471,0.471,0.367,0.997
50,125400,0.099,0.391,0.391,0.352,0.998
50,125500,0.101,0.662,0.662,0.365,0.995
50,125600,0.099,0.863,0.863,0.485,0.997
50,125700,0.098,0.654,0.654,0.423,0.996
