current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
65,11000,0.446,1.182,0.641,0.542,0.475,0.974
66,11100,0.449,1.117,0.644,0.473,0.454,0.974
66,11200,0.446,1.250,0.640,0.610,0.473,0.973
67,11300,0.451,1.010,0.637,0.373,0.428,0.975
68,11400,0.451,1.052,0.630,0.422,0.442,0.974
68,11500,0.447,1.077,0.631,0.445,0.450,0.973
69,11600,0.449,1.247,0.630,0.617,0.503,0.972
69,11700,0.447,1.033,0.630,0.402,0.424,0.976
70,11800,0.450,1.179,0.629,0.550,0.499,0.973
70,11900,0.445,1.140,0.627,0.513,0.481,0.974
71,12000,0.453,1.178,0.617,0.561,0.456,0.973
72,12100,0.450,0.969,0.623,0.346,0.411,0.976
72,12200,0.446,1.253,0.624,0.630,0.488,0.976
73,12300,0.452,0.970,0.621,0.349,0.417,0.976
73,12400,0.446,1.006,0.617,0.389,0.424,0.975
74,12500,0.453,1.081,0.620,0.461,0.452,0.975
75,12600,0.454,1.066,0.617,0.449,0.458,0.974
75,12700,0.448,1.316,0.615,0.701,0.474,0.976
76,12800,0.449,1.345,0.612,0.733,0.528,0.971
76,12900,0.447,1.322,0.608,0.715,0.480,0.974
77,13000,0.450,1.046,0.609,0.437,0.437,0.976
78,13100,0.452,1.180,0.611,0.569,0.478,0.975
78,13200,0.447,1.208,0.606,0.602,0.472,0.975
79,13300,0.449,1.133,0.607,0.526,0.482,0.974
79,13400,0.446,0.928,0.607,0.321,0.398,0.976
80,13500,0.456,1.000,0.606,0.395,0.421,0.975
80,13600,0.445,1.094,0.600,0.494,0.457,0.973
81,13700,0.456,0.922,0.605,0.316,0.400,0.977
82,13800,0.451,1.115,0.601,0.514,0.473,0.973
82,13900,0.446,1.053,0.601,0.452,0.442,0.975
83,14000,0.452,0.984,0.605,0.379,0.413,0.978
83,14100,0.445,0.930,0.603,0.327,0.406,0.976
84,14200,0.453,0.940,0.601,0.339,0.406,0.976
85,14300,0.452,1.044,0.599,0.445,0.423,0.975
85,14400,0.447,1.116,0.599,0.517,0.476,0.972
86,14500,0.450,0.908,0.603,0.305,0.391,0.977
86,14600,0.447,1.352,0.603,0.749,0.483,0.977
87,14700,0.452,1.008,0.598,0.411,0.441,0.974
88,14800,0.451,0.903,0.601,0.302,0.385,0.978
88,14900,0.447,0.996,0.601,0.395,0.426,0.977
89,15000,0.452,0.932,0.602,0.330,0.394,0.978
89,15100,0.450,0.951,0.595,0.356,0.415,0.976
90,15200,0.453,0.979,0.593,0.386,0.422,0.975
90,15300,0.443,0.891,0.595,0.296,0.390,0.977
91,15400,0.453,0.961,0.597,0.365,0.421,0.976
92,15500,0.453,1.067,0.596,0.471,0.460,0.974
92,15600,0.448,1.103,0.595,0.508,0.450,0.976
93,15700,0.450,0.876,0.593,0.283,0.381,0.978
