current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
6,12800,0.099,0.454,0.454,0.288,0.993
6,12900,0.098,0.863,0.863,0.422,0.982
6,13000,0.098,0.494,0.494,0.349,0.990
6,13100,0.098,0.467,0.467,0.307,0.991
6,13200,0.099,0.625,0.625,0.330,0.989
6,13300,0.098,0.394,0.394,0.314,0.989
6,13400,0.098,0.278,0.278,0.265,0.991
6,13500,0.098,0.466,0.466,0.297,0.990
6,13600,0.100,0.245,0.245,0.248,0.992
6,13700,0.098,0.393,0.393,0.311,0.989
6,13800,0.098,0.470,0.470,0.308,0.991
6,13900,0.098,0.243,0.243,0.258,0.992
6,14000,0.099,0.676,0.676,0.408,0.984
6,14100,0.098,0.607,0.607,0.330,0.991
6,14200,0.098,0.215,0.215,0.262,0.988
6,14300,0.098,0.256,0.256,0.286,0.984
6,14400,0.099,0.388,0.388,0.289,0.992
6,14500,0.098,0.496,0.496,0.300,0.990
6,14600,0.098,0.336,0.336,0.267,0.993
6,14700,0.098,0.400,0.400,0.275,0.991
6,14800,0.099,0.652,0.652,0.306,0.992
6,14900,0.098,0.370,0.370,0.339,0.983
6,15000,0.098,0.234,0.234,0.267,0.988
7,15100,0.100,0.215,0.215,0.245,0.992
7,15200,0.099,0.267,0.267,0.255,0.991
7,15300,0.098,0.202,0.202,0.273,0.987
7,15400,0.099,0.369,0.369,0.273,0.993
7,15500,0.098,0.232,0.232,0.265,0.992
7,15600,0.099,1.688,1.688,0.538,0.979
7,15700,0.098,1.117,1.117,0.386,0.987
7,15800,0.098,0.488,0.488,0.298,0.988
7,15900,0.098,0.348,0.348,0.270,0.992
7,16000,0.099,0.420,0.420,0.335,0.985
7,16100,0.098,0.223,0.223,0.257,0.990
7,16200,0.098,0.215,0.215,0.239,0.994
7,16300,0.098,0.533,0.533,0.297,0.993
7,16400,0.099,0.365,0.365,0.263,0.994
7,16500,0.098,0.250,0.250,0.238,0.994
7,16600,0.098,0.283,0.283,0.283,0.988
7,16700,0.098,0.291,0.291,0.264,0.992
7,16800,0.099,0.512,0.512,0.316,0.990
7,16900,0.098,0.504,0.504,0.384,0.988
7,17000,0.098,0.217,0.217,0.237,0.992
7,17100,0.098,0.510,0.510,0.311,0.989
7,17200,0.100,0.269,0.269,0.333,0.971
7,17300,0.098,0.247,0.247,0.248,0.992
7,17400,0.098,0.567,0.567,0.339,0.985
7,17500,0.098,0.421,0.421,0.280,0.994
7,17600,0.098,0.280,0.280,0.262,0.992
8,17700,0.101,0.316,0.316,0.264,0.992
8,17800,0.098,0.250,0.250,0.240,0.994
8,17900,0.098,0.513,0.513,0.334,0.988
8,18000,0.099,0.123,0.123,0.187,0.995
8,18100,0.098,0.237,0.237,0.221,0.994
8,18200,0.098,0.435,0.435,0.318,0.994
8,18300,0.098,0.445,0.445,0.329,0.990
8,18400,0.100,0.119,0.119,0.192,0.993
8,18500,0.098,0.485,0.485,0.280,0.992
8,18600,0.099,0.148,0.148,0.220,0.991
8,18700,0.098,0.601,0.601,0.302,0.993
8,18800,0.100,0.306,0.306,0.305,0.990
8,18900,0.098,0.179,0.179,0.220,0.993
8,19000,0.098,1.909,1.909,0.399,0.983
8,19100,0.098,0.201,0.201,0.258,0.986
8,19200,0.100,0.503,0.503,0.286,0.993
8,19300,0.098,0.222,0.222,0.280,0.986
8,19400,0.098,0.556,0.556,0.380,0.984
8,19500,0.098,0.273,0.273,0.257,0.993
8,19600,0.100,1.097,1.097,0.378,0.986
8,19700,0.098,0.372,0.372,0.296,0.991
8,19800,0.098,0.476,0.476,0.281,0.993
8,19900,0.098,0.513,0.513,0.306,0.990
8,20000,0.100,0.918,0.918,0.388,0.992
