current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.037,0.284,0.103,0.181,0.321,0.924
2,200,0.031,0.321,0.108,0.213,0.334,0.895
2,300,0.028,0.321,0.094,0.228,0.309,0.885
3,400,0.029,0.400,0.116,0.283,0.408,0.838
3,500,0.031,0.308,0.108,0.200,0.341,0.895
4,600,0.029,0.216,0.113,0.102,0.253,0.954
4,700,0.028,0.169,0.085,0.083,0.224,0.962
5,800,0.029,0.274,0.091,0.184,0.345,0.906
5,900,0.028,0.216,0.079,0.138,0.258,0.924
1,100,0.034,1.004,0.006,0.998,0.844,0.037
1,200,0.041,0.974,0.051,0.922,0.773,0.246
1,300,0.040,0.812,0.076,0.736,0.702,0.509
1,400,0.042,0.848,0.102,0.746,0.685,0.466
1,500,0.043,0.725,0.116,0.609,0.624,0.600
1,600,0.044,0.548,0.138,0.411,0.517,0.770
1,700,0.042,0.565,0.136,0.429,0.533,0.760
1,800,0.042,0.670,0.153,0.516,0.575,0.700
1,900,0.033,0.633,0.144,0.489,0.561,0.711
1,1000,0.030,0.593,0.154,0.439,0.540,0.762
1,1100,0.029,0.611,0.164,0.447,0.537,0.741
1,1200,0.031,0.756,0.160,0.596,0.632,0.656
1,1300,0.030,0.528,0.149,0.379,0.477,0.789
1,1400,0.029,0.663,0.175,0.488,0.574,0.724
2,1500,0.029,0.642,0.164,0.478,0.549,0.717
2,1600,0.029,0.581,0.151,0.430,0.540,0.754
2,1700,0.030,0.692,0.163,0.529,0.577,0.679
2,1800,0.031,0.518,0.150,0.368,0.506,0.804
2,1900,0.030,0.525,0.154,0.371,0.456,0.788
2,2000,0.029,0.599,0.154,0.445,0.552,0.749
2,2100,0.030,0.585,0.171,0.414,0.512,0.767
2,2200,0.029,0.479,0.144,0.335,0.476,0.811
2,2300,0.029,0.545,0.151,0.395,0.506,0.791
2,2400,0.029,0.467,0.156,0.311,0.444,0.832
2,2500,0.029,0.493,0.156,0.337,0.447,0.820
2,2600,0.029,0.512,0.154,0.357,0.486,0.804
2,2700,0.029,0.385,0.165,0.220,0.385,0.894
2,2800,0.029,0.538,0.169,0.369,0.486,0.794
2,2900,0.030,0.431,0.165,0.266,0.409,0.857
3,3000,0.030,0.485,0.156,0.329,0.466,0.820
3,3100,0.029,0.489,0.165,0.324,0.453,0.823
3,3200,0.030,0.473,0.165,0.309,0.442,0.832
3,3300,0.029,0.475,0.167,0.308,0.454,0.836
3,3400,0.029,0.420,0.178,0.242,0.384,0.873
3,3500,0.029,0.403,0.170,0.233,0.396,0.879
3,3600,0.029,0.385,0.164,0.221,0.380,0.888
3,3700,0.030,0.403,0.162,0.240,0.397,0.876
3,3800,0.029,0.435,0.160,0.276,0.425,0.856
3,3900,0.029,0.322,0.164,0.158,0.322,0.922
3,4000,0.029,0.408,0.163,0.246,0.407,0.872
3,4100,0.029,0.366,0.161,0.205,0.372,0.896
3,4200,0.029,0.496,0.160,0.336,0.466,0.819
3,4300,0.029,0.385,0.171,0.214,0.373,0.891
3,4400,0.031,0.399,0.163,0.236,0.380,0.873
4,4500,0.030,0.452,0.167,0.285,0.442,0.849
4,4600,0.029,0.368,0.164,0.203,0.371,0.896
4,4700,0.034,0.381,0.169,0.212,0.370,0.888
4,4800,0.031,0.414,0.179,0.235,0.401,0.879
4,4900,0.029,0.359,0.165,0.194,0.351,0.900
4,5000,0.029,0.549,0.170,0.379,0.481,0.792
4,5100,0.029,0.403,0.167,0.236,0.404,0.878
4,5200,0.031,0.473,0.169,0.304,0.440,0.841
4,5300,0.030,0.421,0.167,0.254,0.407,0.864
4,5400,0.029,0.364,0.165,0.199,0.354,0.896
4,5500,0.030,0.429,0.168,0.261,0.417,0.859
4,5600,0.029,0.414,0.164,0.250,0.408,0.867
4,5700,0.029,0.409,0.175,0.234,0.395,0.877
4,5800,0.029,0.312,0.168,0.144,0.309,0.930
4,5900,0.029,0.429,0.169,0.260,0.406,0.862
5,6000,0.029,0.308,0.166,0.142,0.315,0.933
5,6100,0.029,0.392,0.163,0.230,0.395,0.880
5,6200,0.029,0.448,0.174,0.274,0.414,0.857
5,6300,0.029,0.489,0.168,0.321,0.454,0.825
5,6400,0.028,0.372,0.164,0.207,0.363,0.894
5,6500,0.029,0.319,0.162,0.157,0.314,0.920
5,6600,0.028,0.447,0.168,0.279,0.434,0.858
5,6700,0.028,0.389,0.172,0.217,0.370,0.889
5,6800,0.029,0.478,0.170,0.308,0.455,0.834
5,6900,0.028,0.488,0.171,0.317,0.445,0.828
5,7000,0.029,0.468,0.165,0.302,0.442,0.834
5,7100,0.028,0.406,0.175,0.231,0.394,0.881
5,7200,0.029,0.456,0.171,0.285,0.424,0.847
5,7300,0.028,0.367,0.162,0.205,0.358,0.897
