current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
8,10800,0.443,1.006,0.010,0.996,0.810,-0.006
8,10900,0.443,1.001,0.005,0.997,0.824,0.039
8,11000,0.437,1.001,0.004,0.997,0.828,0.016
8,11100,0.442,0.999,0.003,0.996,0.821,-0.053
8,11200,0.442,1.000,0.004,0.996,0.839,-0.026
8,11300,0.439,1.512,0.515,0.997,0.812,0.012
8,11400,0.442,1.274,0.277,0.997,0.822,-0.017
8,11500,0.439,0.999,0.001,0.997,0.839,0.009
8,11600,0.442,1.000,0.002,0.997,0.818,-0.012
8,11700,0.442,0.999,0.002,0.997,0.847,-0.009
8,11800,0.437,1.005,0.008,0.997,0.818,0.031
9,11900,0.442,1.040,0.043,0.997,0.851,-0.025
9,12000,0.442,1.000,0.003,0.997,0.799,-0.013
9,12100,0.439,1.001,0.004,0.997,0.803,0.002
9,12200,0.439,0.996,0.000,0.996,0.822,0.018
9,12300,0.436,1.000,0.003,0.998,0.842,-0.007
9,12400,0.435,0.999,0.002,0.996,0.837,0.011
9,12500,0.440,0.999,0.003,0.997,0.829,0.025
9,12600,0.436,1.000,0.003,0.997,0.831,-0.013
9,12700,0.442,0.999,0.002,0.997,0.845,0.022
9,12800,0.443,1.001,0.004,0.997,0.820,0.014
9,12900,0.438,1.003,0.005,0.998,0.836,-0.014
9,13000,0.441,1.286,0.289,0.997,0.815,-0.025
9,13100,0.442,1.067,0.070,0.997,0.834,0.005
9,13200,0.438,1.007,0.011,0.997,0.842,-0.000
9,13300,0.443,0.997,0.001,0.996,0.822,-0.024
10,13400,0.438,0.998,0.001,0.997,0.843,0.003
10,13500,0.441,1.002,0.004,0.997,0.792,0.001
10,13600,0.441,1.000,0.002,0.997,0.833,-0.002
10,13700,0.438,0.999,0.003,0.997,0.822,-0.033
10,13800,0.443,0.999,0.002,0.997,0.832,-0.006
10,13900,0.442,0.997,0.001,0.996,0.803,-0.017
10,14000,0.438,9.309,8.312,0.997,0.833,-0.009
10,14100,0.442,1.002,0.005,0.997,0.805,-0.030
10,14200,0.439,1.003,0.006,0.997,0.819,-0.005
10,14300,0.442,0.997,0.000,0.997,0.823,0.006
10,14400,0.441,1.002,0.005,0.997,0.808,-0.011
