current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
65,11000,0.447,1.258,0.579,0.679,0.477,0.891
66,11100,0.450,1.072,0.584,0.488,0.453,0.898
66,11200,0.447,1.065,0.580,0.485,0.454,0.900
67,11300,0.448,1.481,0.578,0.902,0.519,0.891
68,11400,0.451,1.335,0.576,0.758,0.485,0.897
68,11500,0.447,1.060,0.576,0.484,0.456,0.901
69,11600,0.449,1.254,0.579,0.676,0.469,0.901
69,11700,0.447,1.166,0.577,0.590,0.461,0.901
70,11800,0.453,1.111,0.583,0.528,0.458,0.901
70,11900,0.446,1.060,0.571,0.489,0.461,0.895
71,12000,0.456,1.157,0.576,0.581,0.477,0.902
72,12100,0.454,1.170,0.580,0.591,0.460,0.903
72,12200,0.446,1.516,0.574,0.942,0.490,0.903
73,12300,0.452,1.198,0.575,0.623,0.471,0.903
73,12400,0.449,1.325,0.570,0.755,0.488,0.894
74,12500,0.451,1.227,0.571,0.656,0.467,0.901
75,12600,0.454,1.373,0.575,0.798,0.502,0.897
75,12700,0.448,1.099,0.575,0.524,0.455,0.903
76,12800,0.452,1.051,0.571,0.479,0.455,0.899
76,12900,0.449,1.010,0.575,0.435,0.437,0.905
77,13000,0.453,1.216,0.574,0.642,0.472,0.901
78,13100,0.453,1.334,0.575,0.759,0.489,0.908
78,13200,0.448,1.028,0.574,0.455,0.438,0.903
79,13300,0.452,1.042,0.570,0.472,0.447,0.900
79,13400,0.449,0.996,0.570,0.426,0.443,0.902
80,13500,0.453,1.642,0.567,1.075,0.518,0.893
80,13600,0.445,1.132,0.565,0.568,0.452,0.902
81,13700,0.456,1.211,0.566,0.645,0.463,0.904
82,13800,0.452,1.444,0.570,0.874,0.477,0.905
82,13900,0.446,1.831,0.569,1.263,0.548,0.892
83,14000,0.452,1.842,0.566,1.276,0.554,0.891
83,14100,0.445,1.394,0.565,0.829,0.481,0.902
84,14200,0.451,1.405,0.568,0.837,0.474,0.901
85,14300,0.456,1.181,0.572,0.609,0.454,0.904
85,14400,0.447,1.179,0.566,0.612,0.454,0.901
86,14500,0.450,1.070,0.568,0.502,0.443,0.902
86,14600,0.447,1.186,0.562,0.624,0.457,0.901
87,14700,0.452,1.325,0.566,0.759,0.462,0.907
88,14800,0.451,0.997,0.563,0.434,0.440,0.902
88,14900,0.446,1.042,0.562,0.479,0.441,0.901
89,15000,0.453,1.064,0.564,0.500,0.440,0.905
89,15100,0.447,1.248,0.567,0.681,0.455,0.906
90,15200,0.449,0.988,0.563,0.425,0.431,0.904
90,15300,0.444,2.161,0.557,1.605,0.555,0.906
91,15400,0.454,1.242,0.558,0.683,0.469,0.901
92,15500,0.453,1.316,0.562,0.754,0.472,0.904
92,15600,0.449,1.231,0.558,0.673,0.469,0.906
93,15700,0.450,1.053,0.566,0.487,0.434,0.905
